Species1,Species3,Match.type
Acrocephalus gracilirostris,Acrocephalus gracilirostris,1BL to 1BT
Acrocephalus griseldis,Acrocephalus griseldis,1BL to 1BT
Acrocephalus hiwae,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus kerearako,Acrocephalus kerearako,1BL to 1BT
Acrocephalus longirostris,Acrocephalus caffer,Many BL to 1BT
Acrocephalus luscinius,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus melanopogon,Acrocephalus melanopogon,1BL to 1BT
Acrocephalus mendanae,Acrocephalus mendanae,Many BL to 1BT
Acrocephalus musae,Acrocephalus caffer,Many BL to 1BT
Acrocephalus newtoni,Acrocephalus newtoni,1BL to 1BT
Acrocephalus nijoi,Acrocephalus luscinius,Many BL to 1BT
Acrocephalus orientalis,Acrocephalus arundinaceus,Many BL to 1BT
Acrocephalus orinus,Acrocephalus orinus,1BL to 1BT
Acrocephalus paludicola,Acrocephalus paludicola,1BL to 1BT
Acrocephalus palustris,Acrocephalus palustris,1BL to 1BT
Acrocephalus percernis,Acrocephalus mendanae,Many BL to 1BT
Acrocephalus rehsei,Acrocephalus rehsei,1BL to 1BT
Acrocephalus rimitarae,Acrocephalus rimatarae,1BL to 1BT
Acrocephalus rodericanus,Acrocephalus rodericanus,1BL to 1BT
Acrocephalus rufescens,Acrocephalus rufescens,1BL to 1BT
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,1BL to 1BT
Acrocephalus sechellensis,Acrocephalus sechellensis,1BL to 1BT
Acrocephalus sorghophilus,Acrocephalus sorghophilus,1BL to 1BT
Acrocephalus stentoreus,Acrocephalus stentoreus,1BL to 1BT
Acrocephalus syrinx,Acrocephalus syrinx,1BL to 1BT
Acrocephalus taiti,Acrocephalus taiti,1BL to 1BT
Acrocephalus tangorum,Acrocephalus tangorum,1BL to 1BT
Acrocephalus vaughani,Acrocephalus vaughani,1BL to 1BT
Acrocephalus yamashinae,Acrocephalus luscinius,Many BL to 1BT
Acropternis orthonyx,Acropternis orthonyx,1BL to 1BT
Acryllium vulturinum,Acryllium vulturinum,1BL to 1BT
Actenoides bougainvillei,Actenoides bougainvillei,Many BL to 1BT
Actenoides capucinus,Actenoides monachus,Many BL to 1BT
Actenoides concretus,Actenoides concretus,1BL to 1BT
Actenoides excelsus,Actenoides bougainvillei,Many BL to 1BT
Actenoides hombroni,Actenoides hombroni,1BL to 1BT
Actenoides lindsayi,Actenoides lindsayi,1BL to 1BT
Actenoides monachus,Actenoides monachus,Many BL to 1BT
Actenoides princeps,Actenoides princeps,Many BL to 1BT
Actenoides regalis,Actenoides princeps,Many BL to 1BT
Actinodura egertoni,Actinodura egertoni,1BL to 1BT
Actinodura radcliffei,Actinodura ramsayi,Many BL to 1BT
Actinodura ramsayi,Actinodura ramsayi,Many BL to 1BT
Actinodura sodangorum,Actinodura sodangorum,1BL to 1BT
Actitis hypoleucos,Actitis hypoleucos,1BL to 1BT
Actitis macularius,Actitis macularius,1BL to 1BT
Actophilornis africanus,Actophilornis africanus,1BL to 1BT
Actophilornis albinucha,Actophilornis albinucha,1BL to 1BT
Adelomyia melanogenys,Adelomyia melanogenys,1BL to 1BT
Aechmophorus clarkii,Aechmophorus clarkii,1BL to 1BT
Aechmophorus occidentalis,Aechmophorus occidentalis,1BL to 1BT
Aegithalos annamensis,Aegithalos concinnus,Many BL to 1BT
Aegithalos bonvaloti,Aegithalos iouschistos,Many BL to 1BT
Aegithalos caudatus,Aegithalos caudatus,Many BL to 1BT
Aegithalos concinnus,Aegithalos concinnus,Many BL to 1BT
Aegithalos fuliginosus,Aegithalos fuliginosus,1BL to 1BT
Aegithalos glaucogularis,Aegithalos caudatus,Many BL to 1BT
Aegithalos iouschistos,Aegithalos iouschistos,Many BL to 1BT
Aegithalos iredalei,Aegithalos concinnus,Many BL to 1BT
Aegithalos leucogenys,Aegithalos leucogenys,1BL to 1BT
Aegithalos niveogularis,Aegithalos niveogularis,1BL to 1BT
Aegithina lafresnayei,Aegithina lafresnayei,1BL to 1BT
Aegithina nigrolutea,Aegithina nigrolutea,1BL to 1BT
Aegithina tiphia,Aegithina tiphia,1BL to 1BT
Aegithina viridissima,Aegithina viridissima,1BL to 1BT
Aegolius acadicus,Aegolius acadicus,1BL to 1BT
Aegolius funereus,Aegolius funereus,1BL to 1BT
Aegolius gradyi,NA ,Extinct
Aegolius harrisii,Aegolius harrisii,1BL to 1BT
Aegolius ridgwayi,Aegolius ridgwayi,1BL to 1BT
Aegotheles affinis,Aegotheles bennettii,Many BL to 1BT
Aegotheles albertisi,Aegotheles albertisi,1BL to 1BT
Aegotheles archboldi,Aegotheles archboldi,1BL to 1BT
Aegotheles bennettii,Aegotheles bennettii,Many BL to 1BT
Aegotheles crinifrons,Aegotheles crinifrons,1BL to 1BT
Aegotheles cristatus,Aegotheles cristatus,1BL to 1BT
Aegotheles insignis,Aegotheles insignis,1BL to 1BT
Aegotheles savesi,Aegotheles savesi,1BL to 1BT
Aegotheles tatei,Aegotheles tatei,1BL to 1BT
Aegotheles wallacii,Aegotheles wallacii,1BL to 1BT
Aegypius monachus,Aegypius monachus,1BL to 1BT
Aepypodius arfakianus,Aepypodius arfakianus,1BL to 1BT
Aepypodius bruijnii,Aepypodius bruijnii,1BL to 1BT
Aerodramus bartschi,Collocalia bartschi,1BL to 1BT
Aerodramus elaphrus,Collocalia elaphra,1BL to 1BT
Aerodramus francicus,Collocalia francica,1BL to 1BT
Aerodramus hirundinaceus,Collocalia hirundinacea,1BL to 1BT
Aerodramus infuscatus,Collocalia infuscata,1BL to 1BT
Aerodramus inquietus,Collocalia inquieta,1BL to 1BT
Aerodramus maximus,Collocalia maxima,1BL to 1BT
Aerodramus mearnsi,Collocalia mearnsi,1BL to 1BT
Aerodramus nuditarsus,Collocalia nuditarsus,1BL to 1BT
Aerodramus orientalis,Collocalia orientalis,1BL to 1BT
Aerodramus papuensis,Collocalia papuensis,1BL to 1BT
Aerodramus pelewensis,Collocalia pelewensis,1BL to 1BT
Aerodramus salangana,Collocalia salangana,1BL to 1BT
Aerodramus sawtelli,Collocalia sawtelli,1BL to 1BT
Aerodramus spodiopygius,Collocalia spodiopygia,1BL to 1BT
Aerodramus terraereginae,Collocalia terraereginae,1BL to 1BT
Aerodramus unicolor,Collocalia unicolor,1BL to 1BT
Aerodramus vulcanorum,Collocalia vulcanorum,1BL to 1BT
Aerodramus whiteheadi,Collocalia whiteheadi,1BL to 1BT
Aeronautes andecolus,Aeronautes andecolus,1BL to 1BT
Aeronautes montivagus,Aeronautes montivagus,1BL to 1BT
Aeronautes saxatalis,Aeronautes saxatalis,1BL to 1BT
Aethia cristatella,Aethia cristatella,1BL to 1BT
Aethia psittacula,Aethia psittacula,1BL to 1BT
Aethia pusilla,Aethia pusilla,1BL to 1BT
Aethia pygmaea,Aethia pygmaea,1BL to 1BT
Aethopyga bella,Aethopyga bella,1BL to 1BT
Aethopyga boltoni,Aethopyga boltoni,1BL to 1BT
Aethopyga christinae,Aethopyga christinae,Many BL to 1BT
Aethopyga duyvenbodei,Aethopyga duyvenbodei,1BL to 1BT
Aethopyga eximia,Aethopyga eximia,1BL to 1BT
Aethopyga flagrans,Aethopyga flagrans,Many BL to 1BT
Aethopyga gouldiae,Aethopyga gouldiae,1BL to 1BT
Aethopyga guimarasensis,Aethopyga flagrans,Many BL to 1BT
Aethopyga ignicauda,Aethopyga ignicauda,1BL to 1BT
Aethopyga latouchii,Aethopyga christinae,Many BL to 1BT
Aethopyga linaraborae,Aethopyga linaraborae,1BL to 1BT
Aethopyga magnifica,Aethopyga siparaja,Many BL to 1BT
Aethopyga mystacalis,Aethopyga mystacalis,Many BL to 1BT
Aethopyga nipalensis,Aethopyga nipalensis,1BL to 1BT
Aethopyga primigenia,Aethopyga primigenia,1BL to 1BT
Aethopyga pulcherrima,Aethopyga pulcherrima,1BL to 1BT
Aethopyga saturata,Aethopyga saturata,1BL to 1BT
Aethopyga shelleyi,Aethopyga shelleyi,1BL to 1BT
Aethopyga siparaja,Aethopyga siparaja,Many BL to 1BT
Aethopyga temminckii,Aethopyga mystacalis,Many BL to 1BT
Aethopyga vigorsii,Aethopyga siparaja,Many BL to 1BT
Afropavo congensis,Afropavo congensis,1BL to 1BT
Afrotis afra,Eupodotis afra,1BL to 1BT
Afrotis afraoides,Eupodotis afraoides,1BL to 1BT
Agamia agami,Agamia agami,1BL to 1BT
Agapornis canus,Agapornis canus,1BL to 1BT
Agapornis fischeri,Agapornis fischeri,1BL to 1BT
Agapornis lilianae,Agapornis lilianae,1BL to 1BT
Agapornis nigrigenis,Agapornis nigrigenis,1BL to 1BT
Agapornis personatus,Agapornis personatus,1BL to 1BT
Agapornis pullarius,Agapornis pullarius,1BL to 1BT
Agapornis roseicollis,Agapornis roseicollis,1BL to 1BT
Agapornis swindernianus,Agapornis swindernianus,1BL to 1BT
Agapornis taranta,Agapornis taranta,1BL to 1BT
Agelaioides badius,Agelaioides badius,Many BL to 1BT
Agelaioides fringillarius,Agelaioides badius,Many BL to 1BT
Agelaius assimilis,Agelaius assimilis,1BL to 1BT
Agelaius humeralis,Agelaius humeralis,1BL to 1BT
Agelaius phoeniceus,Agelaius phoeniceus,1BL to 1BT
Agelaius tricolor,Agelaius tricolor,1BL to 1BT
Agelaius xanthomus,Agelaius xanthomus,1BL to 1BT
Agelastes meleagrides,Agelastes meleagrides,1BL to 1BT
Agelastes niger,Agelastes niger,1BL to 1BT
Agelasticus cyanopus,Agelasticus cyanopus,1BL to 1BT
Agelasticus thilius,Agelasticus thilius,1BL to 1BT
Agelasticus xanthophthalmus,Agelasticus xanthophthalmus,1BL to 1BT
Aglaeactis aliciae,Aglaeactis aliciae,1BL to 1BT
