Species1,Species3,Match.type
Dendrocygna autumnalis,Dendrocygna autumnalis,1BL to 1BT
Dendrocygna bicolor,Dendrocygna bicolor,1BL to 1BT
Dendrocygna eytoni,Dendrocygna eytoni,1BL to 1BT
Dendrocygna guttata,Dendrocygna guttata,1BL to 1BT
Dendrocygna javanica,Dendrocygna javanica,1BL to 1BT
Dendrocygna viduata,Dendrocygna viduata,1BL to 1BT
Dendronanthus indicus,Dendronanthus indicus,1BL to 1BT
Dendroperdix sephaena,Francolinus sephaena,1BL to 1BT
Dendropicos abyssinicus,Dendropicos abyssinicus,1BL to 1BT
Dendropicos dorae,Dendrocopos dorae,1BL to 1BT
Dendropicos elachus,Dendropicos elachus,1BL to 1BT
Dendropicos elliotii,Mesopicos elliotii,Many BL to 1BT
Dendropicos fuscescens,Dendropicos fuscescens,1BL to 1BT
Dendropicos gabonensis,Dendropicos gabonensis,1BL to 1BT
Dendropicos goertae,Mesopicos goertae,1BL to 1BT
Dendropicos griseocephalus,Mesopicos griseocephalus,1BL to 1BT
Dendropicos johnstoni,Mesopicos elliotii,Many BL to 1BT
Dendropicos lugubris,Dendropicos lugubris,1BL to 1BT
Dendropicos namaquus,Thripias namaquus,1BL to 1BT
Dendropicos obsoletus,Dendrocopos obsoletus,1BL to 1BT
Dendropicos poecilolaemus,Dendropicos poecilolaemus,1BL to 1BT
Dendropicos pyrrhogaster,Thripias pyrrhogaster,1BL to 1BT
Dendropicos spodocephalus,Dendropicos spodocephalus,1BL to 1BT
Dendropicos stierlingi,Dendropicos stierlingi,1BL to 1BT
Dendropicos xantholophus,Thripias xantholophus,1BL to 1BT
Dendroplex kienerii,Dendroplex kienerii,1BL to 1BT
Dendroplex picus,Dendroplex picus,1BL to 1BT
Dendrortyx barbatus,Dendrortyx barbatus,1BL to 1BT
Dendrortyx leucophrys,Dendrortyx leucophrys,1BL to 1BT
Dendrortyx macroura,Dendrortyx macroura,1BL to 1BT
Deroptyus accipitrinus,Deroptyus accipitrinus,1BL to 1BT
Dessonornis anomalus,Cossypha anomala,Many BL to 1BT
Dessonornis archeri,Cossypha archeri,1BL to 1BT
Dessonornis caffer,Cossypha caffra,1BL to 1BT
Dessonornis humeralis,Cossypha humeralis,1BL to 1BT
Dessonornis macclounii,Cossypha anomala,Many BL to 1BT
Dessonornis mbuluensis,Cossypha anomala,Many BL to 1BT
Devioeca papuana,Microeca papuana,1BL to 1BT
Diaphorapteryx hawkinsi,NA ,Extinct
Dicaeum aeneum,Dicaeum aeneum,1BL to 1BT
Dicaeum annae,Dicaeum annae,1BL to 1BT
Dicaeum anthonyi,Dicaeum anthonyi,Many BL to 1BT
Dicaeum aureolimbatum,Dicaeum aureolimbatum,1BL to 1BT
Dicaeum australe,Dicaeum australe,1BL to 1BT
Dicaeum beccarii,Dicaeum ignipectus,Many BL to 1BT
Dicaeum bicolor,Dicaeum bicolor,1BL to 1BT
Dicaeum cambodianum,Dicaeum ignipectus,Many BL to 1BT
Dicaeum celebicum,Dicaeum celebicum,1BL to 1BT
Dicaeum chrysorrheum,Dicaeum chrysorrheum,1BL to 1BT
Dicaeum concolor,Dicaeum concolor,Many BL to 1BT
Dicaeum cruentatum,Dicaeum cruentatum,1BL to 1BT
Dicaeum dayakorum,NA ,Newly described species
Dicaeum erythrorhynchos,Dicaeum erythrorhynchos,1BL to 1BT
Dicaeum erythrothorax,Dicaeum erythrothorax,Many BL to 1BT
Dicaeum everetti,Dicaeum everetti,1BL to 1BT
Dicaeum eximium,Dicaeum eximium,1BL to 1BT
Dicaeum geelvinkianum,Dicaeum geelvinkianum,1BL to 1BT
Dicaeum haematostictum,Dicaeum haematostictum,1BL to 1BT
Dicaeum hanieli,Dicaeum sanguinolentum,Many BL to 1BT
Dicaeum hirundinaceum,Dicaeum hirundinaceum,Many BL to 1BT
Dicaeum hypoleucum,Dicaeum hypoleucum,1BL to 1BT
Dicaeum ignicolle,Dicaeum hirundinaceum,Many BL to 1BT
Dicaeum igniferum,Dicaeum igniferum,1BL to 1BT
Dicaeum ignipectus,Dicaeum ignipectus,Many BL to 1BT
Dicaeum kampalili,Dicaeum anthonyi,Many BL to 1BT
Dicaeum keiense,Dicaeum hirundinaceum,Many BL to 1BT
Dicaeum luzoniense,Dicaeum ignipectus,Many BL to 1BT
Dicaeum maugei,Dicaeum maugei,1BL to 1BT
Dicaeum melanozanthum,Dicaeum melanoxanthum,1BL to 1BT
Dicaeum minullum,Dicaeum concolor,Many BL to 1BT
Dicaeum monticolum,Dicaeum monticolum,1BL to 1BT
Dicaeum nehrkorni,Dicaeum nehrkorni,1BL to 1BT
Dicaeum nigrilore,Dicaeum nigrilore,1BL to 1BT
Dicaeum nitidum,Dicaeum nitidum,1BL to 1BT
Dicaeum pectorale,Dicaeum pectorale,1BL to 1BT
Dicaeum proprium,Dicaeum proprium,1BL to 1BT
Dicaeum pygmaeum,Dicaeum pygmaeum,1BL to 1BT
Dicaeum quadricolor,Dicaeum quadricolor,1BL to 1BT
Dicaeum retrocinctum,Dicaeum retrocinctum,1BL to 1BT
Dicaeum sanguinolentum,Dicaeum sanguinolentum,Many BL to 1BT
Dicaeum schistaceiceps,Dicaeum erythrothorax,Many BL to 1BT
Dicaeum trigonostigma,Dicaeum trigonostigma,1BL to 1BT
Dicaeum tristrami,Dicaeum tristrami,1BL to 1BT
Dicaeum trochileum,Dicaeum trochileum,1BL to 1BT
Dicaeum vincens,Dicaeum vincens,1BL to 1BT
Dicaeum vulneratum,Dicaeum vulneratum,1BL to 1BT
Dicaeum wilhelminae,Dicaeum sanguinolentum,Many BL to 1BT
Dichrozona cincta,Dichrozona cincta,1BL to 1BT
Dicrurus adsimilis,Dicrurus adsimilis,1BL to 1BT
Dicrurus aeneus,Dicrurus aeneus,1BL to 1BT
Dicrurus aldabranus,Dicrurus aldabranus,1BL to 1BT
Dicrurus andamanensis,Dicrurus andamanensis,1BL to 1BT
Dicrurus annectens,Dicrurus annectans,1BL to 1BT
Dicrurus atripennis,Dicrurus atripennis,1BL to 1BT
Dicrurus balicassius,Dicrurus balicassius,1BL to 1BT
Dicrurus bracteatus,Dicrurus bracteatus,1BL to 1BT
Dicrurus caerulescens,Dicrurus caerulescens,1BL to 1BT
Dicrurus densus,Dicrurus densus,1BL to 1BT
Dicrurus forficatus,Dicrurus forficatus,1BL to 1BT
Dicrurus fuscipennis,Dicrurus fuscipennis,1BL to 1BT
Dicrurus hottentottus,Dicrurus hottentottus,Many BL to 1BT
Dicrurus leucophaeus,Dicrurus leucophaeus,1BL to 1BT
Dicrurus lophorinus,Dicrurus paradiseus,Many BL to 1BT
Dicrurus ludwigii,Dicrurus ludwigii,1BL to 1BT
Dicrurus macrocercus,Dicrurus macrocercus,1BL to 1BT
Dicrurus megarhynchus,Dicrurus megarhynchus,1BL to 1BT
Dicrurus menagei,Dicrurus hottentottus,Many BL to 1BT
Dicrurus modestus,Dicrurus modestus,1BL to 1BT
Dicrurus montanus,Dicrurus montanus,1BL to 1BT
Dicrurus paradiseus,Dicrurus paradiseus,Many BL to 1BT
Dicrurus remifer,Dicrurus remifer,1BL to 1BT
Dicrurus striatus,Dicrurus hottentottus,Many BL to 1BT
Dicrurus sumatranus,Dicrurus sumatranus,1BL to 1BT
Dicrurus waldenii,Dicrurus waldenii,1BL to 1BT
Didunculus strigirostris,Didunculus strigirostris,1BL to 1BT
Diglossa albilatera,Diglossa albilatera,1BL to 1BT
Diglossa baritula,Diglossa baritula,1BL to 1BT
Diglossa brunneiventris,Diglossa brunneiventris,1BL to 1BT
Diglossa caerulescens,Diglossa caerulescens,1BL to 1BT
Diglossa carbonaria,Diglossa carbonaria,1BL to 1BT
Diglossa cyanea,Diglossa cyanea,1BL to 1BT
Diglossa duidae,Diglossa duidae,1BL to 1BT
Diglossa glauca,Diglossa glauca,1BL to 1BT
Diglossa gloriosa,Diglossa gloriosa,1BL to 1BT
Diglossa gloriosissima,Diglossa gloriosissima,1BL to 1BT
Diglossa humeralis,Diglossa humeralis,1BL to 1BT
Diglossa indigotica,Diglossa indigotica,1BL to 1BT
Diglossa lafresnayii,Diglossa lafresnayii,1BL to 1BT
Diglossa major,Diglossa major,1BL to 1BT
Diglossa mystacalis,Diglossa mystacalis,1BL to 1BT
Diglossa plumbea,Diglossa plumbea,1BL to 1BT
Diglossa sittoides,Diglossa sittoides,1BL to 1BT
Diglossa venezuelensis,Diglossa venezuelensis,1BL to 1BT
Dinemellia dinemelli,Dinemellia dinemelli,1BL to 1BT
Dinopium benghalense,Dinopium benghalense,Many BL to 1BT
Dinopium everetti,Dinopium javanense,Many BL to 1BT
Dinopium javanense,Dinopium javanense,Many BL to 1BT
Dinopium psarodes,Dinopium benghalense,Many BL to 1BT
Dinopium rafflesii,Dinopium rafflesii,1BL to 1BT
Dinopium shorii,Dinopium shorii,1BL to 1BT
Diomedea amsterdamensis,Diomedea amsterdamensis,1BL to 1BT
Diomedea antipodensis,Diomedea antipodensis,1BL to 1BT
Diomedea dabbenena,Diomedea dabbenena,1BL to 1BT
Diomedea epomophora,Diomedea epomophora,1BL to 1BT
Diomedea exulans,Diomedea exulans,1BL to 1BT
Diomedea sanfordi,Diomedea sanfordi,1BL to 1BT
Diopsittaca cumanensis,Diopsittaca nobilis,Many BL to 1BT
Diopsittaca nobilis,Diopsittaca nobilis,Many BL to 1BT
Discosura conversii,Discosura conversii,1BL to 1BT
Discosura langsdorffi,Discosura langsdorffi,1BL to 1BT
Discosura letitiae,Discosura letitiae,1BL to 1BT
Discosura longicaudus,Discosura longicaudus,1BL to 1BT
Discosura popelairii,Discosura popelairii,1BL to 1BT
Diuca diuca,Diuca diuca,1BL to 1BT
Dives dives,Dives dives,1BL to 1BT
Dives warczewiczi,Dives warszewiczi,1BL to 1BT
Dolichonyx oryzivorus,Dolichonyx oryzivorus,1BL to 1BT
Doliornis remseni,Doliornis remseni,1BL to 1BT
Doliornis sclateri,Doliornis sclateri,1BL to 1BT
Donacobius atricapilla,Donacobius atricapilla,1BL to 1BT
Donacospiza albifrons,Donacospiza albifrons,1BL to 1BT
Doricha eliza,Doricha eliza,1BL to 1BT
Doricha enicura,Doricha enicura,1BL to 1BT
Doryfera johannae,Doryfera johannae,1BL to 1BT
Doryfera ludovicae,Doryfera ludovicae,1BL to 1BT
Drepanis coccinea,Vestiaria coccinea,1BL to 1BT
Drepanis funerea,NA ,Extinct
Drepanis pacifica,NA ,Extinct
Drepanoptila holosericea,Drepanoptila holosericea,1BL to 1BT
Drepanorhynchus reichenowi,Nectarinia reichenowi,1BL to 1BT
Drepanornis albertisi,Epimachus albertisi,1BL to 1BT
Drepanornis bruijnii,Epimachus bruijnii,1BL to 1BT
Dreptes thomensis,Nectarinia thomensis,1BL to 1BT
Dromaius baudinianus,NA ,Extinct
Dromaius minor,Dromaius novaehollandiae,Many BL to 1BT
Dromaius novaehollandiae,Dromaius novaehollandiae,Many BL to 1BT
Dromas ardeola,Dromas ardeola,1BL to 1BT
Dromococcyx pavoninus,Dromococcyx pavoninus,1BL to 1BT
Dromococcyx phasianellus,Dromococcyx phasianellus,1BL to 1BT
Drymocichla incana,Drymocichla incana,1BL to 1BT
Drymodes beccarii,Drymodes superciliaris,Many BL to 1BT
Drymodes brunneopygia,Drymodes brunneopygia,1BL to 1BT
Drymodes superciliaris,Drymodes superciliaris,Many BL to 1BT
Drymophila caudata,Drymophila caudata,Many BL to 1BT
Drymophila devillei,Drymophila devillei,1BL to 1BT
Drymophila ferruginea,Drymophila ferruginea,1BL to 1BT
Drymophila genei,Drymophila genei,1BL to 1BT
Drymophila hellmayri,Drymophila caudata,Many BL to 1BT
Drymophila klagesi,Drymophila caudata,Many BL to 1BT
Drymophila malura,Drymophila malura,1BL to 1BT
Drymophila ochropyga,Drymophila ochropyga,1BL to 1BT
Drymophila rubricollis,Drymophila rubricollis,1BL to 1BT
Drymophila squamata,Drymophila squamata,1BL to 1BT
Drymophila striaticeps,Drymophila caudata,Many BL to 1BT
Drymornis bridgesii,Drymornis bridgesii,1BL to 1BT
Drymotoxeres pucheranii,Campylorhamphus pucherani,1BL to 1BT
Dryobates cathpharius,Dendrocopos cathpharius,Many BL to 1BT
Dryobates minor,Dendrocopos minor,1BL to 1BT
Dryobates nuttallii,Picoides nuttallii,1BL to 1BT
Dryobates pernyii,Dendrocopos cathpharius,Many BL to 1BT
Dryobates pubescens,Picoides pubescens,1BL to 1BT
Dryobates scalaris,Picoides scalaris,1BL to 1BT
Dryocopus hodgei,Dryocopus hodgei,1BL to 1BT
Dryocopus javensis,Dryocopus javensis,1BL to 1BT
Dryocopus martius,Dryocopus martius,1BL to 1BT
Dryolimnas augusti,NA ,Extinct
Dryolimnas cuvieri,Dryolimnas cuvieri,1BL to 1BT
Dryoscopus angolensis,Dryoscopus angolensis,1BL to 1BT
Dryoscopus cubla,Dryoscopus cubla,1BL to 1BT
Dryoscopus gambensis,Dryoscopus gambensis,1BL to 1BT
Dryoscopus pringlii,Dryoscopus pringlii,1BL to 1BT
Dryoscopus sabini,Dryoscopus sabini,1BL to 1BT
Dryoscopus senegalensis,Dryoscopus senegalensis,1BL to 1BT
Dryotriorchis spectabilis,Dryotriorchis spectabilis,1BL to 1BT
Dubusia carrikeri,Dubusia taeniata,Many BL to 1BT
Dubusia castaneoventris,Delothraupis castaneoventris,1BL to 1BT
Dubusia stictocephala,Dubusia taeniata,Many BL to 1BT
Dubusia taeniata,Dubusia taeniata,Many BL to 1BT
Ducula aenea,Ducula aenea,Many BL to 1BT
Ducula aurorae,Ducula aurorae,1BL to 1BT
Ducula badia,Ducula badia,Many BL to 1BT
Ducula bakeri,Ducula bakeri,1BL to 1BT
Ducula basilica,Ducula basilica,Many BL to 1BT
Ducula bicolor,Ducula bicolor,1BL to 1BT
Ducula brenchleyi,Ducula brenchleyi,1BL to 1BT
Ducula carola,Ducula carola,1BL to 1BT
Ducula chalconota,Ducula chalconota,1BL to 1BT
Ducula cineracea,Ducula cineracea,1BL to 1BT
Ducula concinna,Ducula concinna,1BL to 1BT
Ducula cuprea,Ducula badia,Many BL to 1BT
Ducula finschii,Ducula finschii,1BL to 1BT
Ducula forsteni,Ducula forsteni,1BL to 1BT
Ducula galeata,Ducula galeata,1BL to 1BT
Ducula geelvinkiana,Ducula myristicivora,Many BL to 1BT
Ducula goliath,Ducula goliath,1BL to 1BT
Ducula lacernulata,Ducula lacernulata,1BL to 1BT
Ducula latrans,Ducula latrans,1BL to 1BT
Ducula luctuosa,Ducula luctuosa,1BL to 1BT
Ducula melanochroa,Ducula melanochroa,1BL to 1BT
Ducula mindorensis,Ducula mindorensis,1BL to 1BT
Ducula mullerii,Ducula mullerii,1BL to 1BT
Ducula myristicivora,Ducula myristicivora,Many BL to 1BT
Ducula neglecta,Ducula perspicillata,Many BL to 1BT
Ducula obiensis,Ducula basilica,Many BL to 1BT
Ducula oceanica,Ducula oceanica,1BL to 1BT
Ducula oenothorax,Ducula aenea,Many BL to 1BT
Ducula pacifica,Ducula pacifica,1BL to 1BT
Ducula perspicillata,Ducula perspicillata,Many BL to 1BT
Ducula pickeringii,Ducula pickeringii,1BL to 1BT
Ducula pinon,Ducula pinon,Many BL to 1BT
Ducula pistrinaria,Ducula pistrinaria,1BL to 1BT
Ducula poliocephala,Ducula poliocephala,1BL to 1BT
Ducula radiata,Ducula radiata,1BL to 1BT
Ducula rosacea,Ducula rosacea,1BL to 1BT
Ducula rubricera,Ducula rubricera,1BL to 1BT
Ducula rufigaster,Ducula rufigaster,1BL to 1BT
Ducula salvadorii,Ducula pinon,Many BL to 1BT
Ducula spilorrhoa,Ducula spilorrhoa,1BL to 1BT
Ducula subflavescens,Ducula subflavescens,1BL to 1BT
Ducula whartoni,Ducula whartoni,1BL to 1BT
Ducula zoeae,Ducula zoeae,1BL to 1BT
Dulus dominicus,Dulus dominicus,1BL to 1BT
Dumetella carolinensis,Dumetella carolinensis,1BL to 1BT
Dumetia hyperythra,Dumetia hyperythra,1BL to 1BT
Dyaphorophyia ansorgei,Platysteira concreta,Many BL to 1BT
Dyaphorophyia blissetti,Platysteira blissetti,1BL to 1BT
Dyaphorophyia castanea,Platysteira castanea,Many BL to 1BT
Dyaphorophyia chalybea,Platysteira chalybea,1BL to 1BT
Dyaphorophyia concreta,Platysteira concreta,Many BL to 1BT
Dyaphorophyia hormophora,Platysteira castanea,Many BL to 1BT
Dyaphorophyia jamesoni,Platysteira jamesoni,1BL to 1BT
Dyaphorophyia tonsa,Platysteira tonsa,1BL to 1BT
Dysithamnus leucostictus,Dysithamnus leucostictus,1BL to 1BT
Dysithamnus mentalis,Dysithamnus mentalis,1BL to 1BT
Dysithamnus occidentalis,Dysithamnus occidentalis,1BL to 1BT
Dysithamnus plumbeus,Dysithamnus plumbeus,1BL to 1BT
Dysithamnus puncticeps,Dysithamnus puncticeps,1BL to 1BT
Dysithamnus stictothorax,Dysithamnus stictothorax,1BL to 1BT
Dysithamnus striaticeps,Dysithamnus striaticeps,1BL to 1BT
Dysithamnus xanthopterus,Dysithamnus xanthopterus,1BL to 1BT
Dysmorodrepanis munroi,NA ,Extinct
Eclectus cornelia,Eclectus roratus,Many BL to 1BT
Eclectus infectus,NA ,Extinct
Eclectus polychloros,Eclectus roratus,Many BL to 1BT
Eclectus riedeli,Eclectus roratus,Many BL to 1BT
Eclectus roratus,Eclectus roratus,Many BL to 1BT
Ectopistes migratorius,NA ,Extinct
Edolisoma anale,Coracina analis,1BL to 1BT
Edolisoma ceramense,Coracina ceramensis,1BL to 1BT
Edolisoma coerulescens,Coracina coerulescens,1BL to 1BT
Edolisoma dispar,Coracina dispar,1BL to 1BT
Edolisoma dohertyi,Coracina dohertyi,1BL to 1BT
Edolisoma grayi,Coracina tenuirostris,Many BL to 1BT
Edolisoma holopolium,Coracina holopolia,1BL to 1BT
Edolisoma incertum,Coracina incerta,1BL to 1BT
Edolisoma insperatum,Coracina tenuirostris,Many BL to 1BT
Edolisoma melas,Coracina melas,1BL to 1BT
Edolisoma meyerii,Coracina tenuirostris,Many BL to 1BT
Edolisoma mindanense,Coracina mindanensis,1BL to 1BT
Edolisoma monacha,Coracina tenuirostris,Many BL to 1BT
Edolisoma montanum,Coracina montana,1BL to 1BT
Edolisoma morio,Coracina morio,1BL to 1BT
Edolisoma nesiotis,Coracina tenuirostris,Many BL to 1BT
Edolisoma obiense,Coracina tenuirostris,Many BL to 1BT
Edolisoma ostentum,Coracina ostenta,1BL to 1BT
Edolisoma parvulum,Coracina parvula,1BL to 1BT
Edolisoma pygmaeum,Coracina tenuirostris,Many BL to 1BT
Edolisoma remotum,Coracina tenuirostris,Many BL to 1BT
Edolisoma rostratum,Coracina tenuirostris,Many BL to 1BT
Edolisoma salomonis,Coracina tenuirostris,Many BL to 1BT
Edolisoma schisticeps,Coracina schisticeps,1BL to 1BT
Edolisoma sula,Coracina sula,1BL to 1BT
Edolisoma tenuirostre,Coracina tenuirostris,Many BL to 1BT
Egretta ardesiaca,Egretta ardesiaca,1BL to 1BT
Egretta caerulea,Egretta caerulea,1BL to 1BT
Egretta eulophotes,Egretta eulophotes,1BL to 1BT
Egretta garzetta,Egretta garzetta,1BL to 1BT
Egretta gularis,Egretta gularis,1BL to 1BT
Egretta novaehollandiae,Egretta novaehollandiae,1BL to 1BT
Egretta picata,Ardea picata,1BL to 1BT
Egretta rufescens,Egretta rufescens,1BL to 1BT
Egretta sacra,Egretta sacra,1BL to 1BT
Egretta thula,Egretta thula,1BL to 1BT
Egretta tricolor,Egretta tricolor,1BL to 1BT
Egretta vinaceigula,Egretta vinaceigula,1BL to 1BT
Elachura formosa,Spelaeornis formosus,1BL to 1BT
Elaenia albiceps,Elaenia albiceps,1BL to 1BT
Elaenia brachyptera,Elaenia chiriquensis,Many BL to 1BT
Elaenia cherriei,Elaenia fallax,Many BL to 1BT
Elaenia chiriquensis,Elaenia chiriquensis,Many BL to 1BT
Elaenia cristata,Elaenia cristata,1BL to 1BT
Elaenia dayi,Elaenia dayi,1BL to 1BT
Elaenia fallax,Elaenia fallax,Many BL to 1BT
Elaenia flavogaster,Elaenia flavogaster,1BL to 1BT
Elaenia frantzii,Elaenia frantzii,1BL to 1BT
Elaenia gigas,Elaenia gigas,1BL to 1BT
Elaenia martinica,Elaenia martinica,1BL to 1BT
Elaenia mesoleuca,Elaenia mesoleuca,1BL to 1BT
Elaenia obscura,Elaenia obscura,Many BL to 1BT
Elaenia olivina,Elaenia pallatangae,Many BL to 1BT
Elaenia pallatangae,Elaenia pallatangae,Many BL to 1BT
Elaenia parvirostris,Elaenia parvirostris,1BL to 1BT
Elaenia pelzelni,Elaenia pelzelni,1BL to 1BT
Elaenia ridleyana,Elaenia ridleyana,1BL to 1BT
Elaenia ruficeps,Elaenia ruficeps,1BL to 1BT
Elaenia sordida,Elaenia obscura,Many BL to 1BT
Elaenia spectabilis,Elaenia spectabilis,1BL to 1BT
Elaenia strepera,Elaenia strepera,1BL to 1BT
Elanoides forficatus,Elanoides forficatus,1BL to 1BT
Elanus axillaris,Elanus axillaris,1BL to 1BT
Elanus caeruleus,Elanus caeruleus,1BL to 1BT
Elanus leucurus,Elanus leucurus,1BL to 1BT
Elanus scriptus,Elanus scriptus,1BL to 1BT
Elaphrornis palliseri,Bradypterus palliseri,1BL to 1BT
Electron carinatum,Electron carinatum,1BL to 1BT
Electron platyrhynchum,Electron platyrhynchum,1BL to 1BT
Eleoscytalopus indigoticus,Eleoscytalopus indigoticus,1BL to 1BT
Eleoscytalopus psychopompus,Eleoscytalopus psychopompus,1BL to 1BT
Eleothreptus anomalus,Eleothreptus anomalus,1BL to 1BT
Eleothreptus candicans,Eleothreptus candicans,1BL to 1BT
Elminia albicauda,Elminia albicauda,1BL to 1BT
Elminia albiventris,Elminia albiventris,1BL to 1BT
Elminia albonotata,Elminia albonotata,1BL to 1BT
Elminia longicauda,Elminia longicauda,1BL to 1BT
Elminia nigromitrata,Elminia nigromitrata,1BL to 1BT
Elseyornis melanops,Elseyornis melanops,1BL to 1BT
Elvira chionura,Elvira chionura,1BL to 1BT
Elvira cupreiceps,Elvira cupreiceps,1BL to 1BT
Emarginata schlegelii,Cercomela schlegelii,1BL to 1BT
Emarginata sinuata,Cercomela sinuata,1BL to 1BT
Emarginata tractrac,Cercomela tractrac,1BL to 1BT
Emberiza affinis,Emberiza affinis,1BL to 1BT
Emberiza aureola,Emberiza aureola,1BL to 1BT
Emberiza bruniceps,Emberiza bruniceps,1BL to 1BT
Emberiza buchanani,Emberiza buchanani,1BL to 1BT
Emberiza cabanisi,Emberiza cabanisi,1BL to 1BT
Emberiza caesia,Emberiza caesia,1BL to 1BT
Emberiza calandra,Miliaria calandra,1BL to 1BT
Emberiza chrysophrys,Emberiza chrysophrys,1BL to 1BT
Emberiza cia,Emberiza cia,1BL to 1BT
Emberiza cineracea,Emberiza cineracea,1BL to 1BT
Emberiza cioides,Emberiza cioides,1BL to 1BT
Emberiza cirlus,Emberiza cirlus,1BL to 1BT
Emberiza citrinella,Emberiza citrinella,1BL to 1BT
Emberiza elegans,Emberiza elegans,1BL to 1BT
Emberiza flaviventris,Emberiza flaviventris,1BL to 1BT
Emberiza fucata,Emberiza fucata,1BL to 1BT
Emberiza godlewskii,Emberiza godlewskii,1BL to 1BT
Emberiza goslingi,Emberiza tahapisi,Many BL to 1BT
Emberiza hortulana,Emberiza hortulana,1BL to 1BT
Emberiza impetuani,Emberiza impetuani,1BL to 1BT
Emberiza jankowskii,Emberiza jankowskii,1BL to 1BT
Emberiza koslowi,Emberiza koslowi,1BL to 1BT
Emberiza lathami,Melophus lathami,1BL to 1BT
Emberiza leucocephalos,Emberiza leucocephalos,1BL to 1BT
Emberiza melanocephala,Emberiza melanocephala,1BL to 1BT
Emberiza pallasi,Emberiza pallasi,1BL to 1BT
Emberiza personata,Emberiza spodocephala,Many BL to 1BT
Emberiza poliopleura,Emberiza poliopleura,1BL to 1BT
Emberiza pusilla,Emberiza pusilla,1BL to 1BT
Emberiza rustica,Emberiza rustica,1BL to 1BT
Emberiza rutila,Emberiza rutila,1BL to 1BT
Emberiza sahari,Emberiza striolata,Many BL to 1BT
Emberiza schoeniclus,Emberiza schoeniclus,1BL to 1BT
Emberiza siemsseni,Latoucheornis siemsseni,1BL to 1BT
Emberiza socotrana,Emberiza socotrana,1BL to 1BT
Emberiza spodocephala,Emberiza spodocephala,Many BL to 1BT
Emberiza stewarti,Emberiza stewarti,1BL to 1BT
Emberiza striolata,Emberiza striolata,Many BL to 1BT
Emberiza sulphurata,Emberiza sulphurata,1BL to 1BT
Emberiza tahapisi,Emberiza tahapisi,Many BL to 1BT
Emberiza tristrami,Emberiza tristrami,1BL to 1BT
Emberiza variabilis,Emberiza variabilis,1BL to 1BT
Emberiza yessoensis,Emberiza yessoensis,1BL to 1BT
Emberizoides duidae,Emberizoides duidae,1BL to 1BT
Emberizoides herbicola,Emberizoides herbicola,1BL to 1BT
Emberizoides ypiranganus,Emberizoides ypiranganus,1BL to 1BT
Embernagra longicauda,Embernagra longicauda,1BL to 1BT
Embernagra platensis,Embernagra platensis,1BL to 1BT
Emblema pictum,Emblema pictum,1BL to 1BT
Eminia lepida,Eminia lepida,1BL to 1BT
Empidonax affinis,Empidonax affinis,1BL to 1BT
Empidonax albigularis,Empidonax albigularis,1BL to 1BT
Empidonax alnorum,Empidonax alnorum,1BL to 1BT
Empidonax atriceps,Empidonax atriceps,1BL to 1BT
Empidonax difficilis,Empidonax difficilis,1BL to 1BT
Empidonax flavescens,Empidonax flavescens,1BL to 1BT
Empidonax flaviventris,Empidonax flaviventris,1BL to 1BT
Empidonax fulvifrons,Empidonax fulvifrons,1BL to 1BT
Empidonax hammondii,Empidonax hammondii,1BL to 1BT
Empidonax minimus,Empidonax minimus,1BL to 1BT
Empidonax oberholseri,Empidonax oberholseri,1BL to 1BT
Empidonax occidentalis,Empidonax occidentalis,1BL to 1BT
Empidonax traillii,Empidonax traillii,1BL to 1BT
Empidonax virescens,Empidonax virescens,1BL to 1BT
Empidonax wrightii,Empidonax wrightii,1BL to 1BT
Empidonomus varius,Empidonomus varius,1BL to 1BT
Enicognathus ferrugineus,Enicognathus ferrugineus,1BL to 1BT
Enicognathus leptorhynchus,Enicognathus leptorhynchus,1BL to 1BT
Enicurus immaculatus,Enicurus immaculatus,1BL to 1BT
Enicurus leschenaulti,Enicurus leschenaulti,1BL to 1BT
Enicurus maculatus,Enicurus maculatus,1BL to 1BT
Enicurus ruficapillus,Enicurus ruficapillus,1BL to 1BT
Enicurus schistaceus,Enicurus schistaceus,1BL to 1BT
Enicurus scouleri,Enicurus scouleri,1BL to 1BT
Enicurus velatus,Enicurus velatus,1BL to 1BT
Enodes erythrophris,Enodes erythrophris,1BL to 1BT
Ensifera ensifera,Ensifera ensifera,1BL to 1BT
Entomodestes coracinus,Entomodestes coracinus,1BL to 1BT
Entomodestes leucotis,Entomodestes leucotis,1BL to 1BT
Entomyzon albipennis,Entomyzon cyanotis,Many BL to 1BT
Entomyzon cyanotis,Entomyzon cyanotis,Many BL to 1BT
Eolophus roseicapilla,Cacatua roseicapilla,1BL to 1BT
Eophona migratoria,Eophona migratoria,1BL to 1BT
Eophona personata,Eophona personata,1BL to 1BT
Eopsaltria australis,Eopsaltria australis,1BL to 1BT
Eopsaltria griseogularis,Eopsaltria griseogularis,1BL to 1BT
Eos bornea,Eos bornea,1BL to 1BT
Eos cyanogenia,Eos cyanogenia,1BL to 1BT
Eos histrio,Eos histrio,1BL to 1BT
Eos reticulata,Eos reticulata,1BL to 1BT
Eos semilarvata,Eos semilarvata,1BL to 1BT
Eos squamata,Eos squamata,1BL to 1BT
Ephippiorhynchus asiaticus,Ephippiorhynchus asiaticus,1BL to 1BT
